gene,Chen28689251,Nichols_24571919,x_hurskainen_33692365_endothelial,x_hurskainen_33692365_epithelial,x_hurskainen_33692365_stroma,x_lingappan_25003466_both_ranked,x_scaffa_34417156_ranked,Al_mudares_37368978_female,Al_mudares_37368978_male,Bao_27137150,Bhaskaran_22911455,Bhattacharya_25150062,Chao27770432,Cheng_31961470,Coarfa_28818871,Denervaud_26353077,Dong_36157523,Natarajan_28851267_down,Natarajan_28851267_up,x_dravet_gounot_29287116_p10,x_dravet_gounot_29287116_p10_ranked,x_lingappan_25003466_female,x_lingappan_25003466_male,x_nitkin_32753701_24hr_unranked,x_nitkin_32753701_6hr_unranked,x_rao_37310763_ranked,x_revhaug_31454811_down_ranked,x_revhaug_31454811_up_ranked,x_shrestha_33446917_down_,x_shrestha_33446917_up,x_xing_26398774_down,x_xing_26398774_up,maic_score,contributors
STAT3,1.407059167,0,0,0,0,0,1.299551101,0,1.348202323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,0,0,0,0,0,0,0,5.413578497,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251"
ZBTB20,1.407059167,0,0,0,0,0,1.303918963,0,1.344245566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.055223696,"SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
CTDSPL,1.407059167,0,0,0,0,0,1.298057718,0,1.345746405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05086329,"SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
MAP4K4,1.407059167,0,1.225077443,1.226393252,1.221773174,0,1.300236035,1.335478205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.716017276,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Al_mudares_37368978_female, GENOMICS: Chen28689251"
SULF1,1.407059167,0,1.225129224,1.226675562,1.221908102,0,0,0,0,0,0,0,0,0,0,0,1.388619625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46939168,"SCRNASEQ: x_hurskainen_33692365_epithelial, TRANSCRIPTOMICS: Dong_36157523, GENOMICS: Chen28689251"
CASP8,1.407059167,0,1.225031112,1.22613549,1.221648282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,1.244887505,0,0,0,0,0,0,7.683527464,"SCRNASEQ: x_hurskainen_33692365_epithelial, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251"
CXCR2,1.407059167,0,1.224998863,1.225946465,1.221551268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,1.244899445,0,0,0,0,0,0,7.683221115,"SCRNASEQ: x_hurskainen_33692365_epithelial, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251"
CD82,1.407059167,0,1.22436704,1.222472822,1.219884184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,0,0,0,0,0,0,0,6.43254912,"SCRNASEQ: x_hurskainen_33692365_endothelial, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251"
RAPH1,1.407059167,0,1.225022028,1.226086393,1.22162375,0,0,0,1.344382006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.424173343,"SCRNASEQ: x_hurskainen_33692365_epithelial, GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
GLRX2,1.407059167,0,1.224828984,1.224969426,1.221098535,0,0,1.335478075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.413434186,"SCRNASEQ: x_hurskainen_33692365_epithelial, TRANSCRIPTOMICS: Al_mudares_37368978_female, GENOMICS: Chen28689251"
TFCP2L1,1.407059167,0,1.224898934,1.225376935,1.221290333,0,0,0,1.334626555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.413251924,"SCRNASEQ: x_hurskainen_33692365_epithelial, GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
ABCD2,1.407059167,0,0,0,0,0,1.306086051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244888605,0,0,0,0,0,0,3.958033823,"SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
BACH2,1.407059167,0,0,0,0,0,1.305883939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244889275,0,0,0,0,0,0,3.957832381,"SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
ENC1,1.407059167,0,0,0,0,0,1.301139924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244889635,0,0,0,0,0,0,3.953088727,"SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
FOXJ2,1.407059167,0,0,0,0,0,1.300645873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244881355,0,0,0,0,0,0,3.952586395,"SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
RNF152,1.407059167,0,1.224908472,1.225423578,1.221314865,0,1.300157436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244886855,0,0,0,0,0,0,7.623750374,"SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
LYAR,1.407059167,0,0,0,0,0,1.298400186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244879585,0,0,0,0,0,0,3.950338938,"SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
IL1R2,1.407059167,0,1.225076989,1.226390797,1.221772059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244897095,0,0,0,0,0,0,6.325196107,"SCRNASEQ: x_hurskainen_33692365_epithelial, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
MFSD6,1.407059167,0,1.225052461,1.226253324,1.221704037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244886295,0,0,0,0,0,0,6.324955285,"SCRNASEQ: x_hurskainen_33692365_epithelial, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
ICOS,1.407059167,0,1.225020665,1.226079028,1.221620404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244880115,0,0,0,0,0,0,6.32465938,"SCRNASEQ: x_hurskainen_33692365_epithelial, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
HDAC4,1.407059167,0,1.224929367,1.225536502,1.221367275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244886605,0,0,0,0,0,0,6.323778916,"SCRNASEQ: x_hurskainen_33692365_epithelial, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
TAF1A,1.407059167,0,1.224689083,1.22422069,1.220722744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244888485,0,0,0,0,0,0,6.32158017,"SCRNASEQ: x_hurskainen_33692365_endothelial, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
ARL5A,1.407059167,0,1.224476507,1.223057081,1.220169652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244880195,0,0,0,0,0,0,6.319642603,"SCRNASEQ: x_hurskainen_33692365_endothelial, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
DUSP19,1.407059167,0,1.224409737,1.222708489,1.220000155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244898225,0,0,0,0,0,0,6.319075774,"SCRNASEQ: x_hurskainen_33692365_endothelial, GENOMICS: Chen28689251, TRANSCRIPTOMICS: x_rao_37310763_ranked"
HSPA12B,1.407059167,0,1.224236678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244887485,0,0,0,0,0,0,3.876183331,"GENOMICS: Chen28689251, SCRNASEQ: x_hurskainen_33692365_endothelial, TRANSCRIPTOMICS: x_rao_37310763_ranked"
CH25H,0,0,0,0,0,1.573519506,0,0,0,0,0,0,0,0,0,0,0,0,1.823047917,0,0,0,0,0,0,1.244890085,0,0,0,0,0,0,4.641457508,"SCRNASEQ: x_lingappan_25003466_both_ranked, TRANSCRIPTOMICS: Natarajan_28851267_up"
PTGS2,0,0,1.224824896,1.224949787,1.221087384,1.573520484,0,0,0,0,0,0,0,0,0,0,0,0,1.794730032,0,0,0,0,0,0,0,0,0,0,0,0,0,7.039112583,"SCRNASEQ: x_lingappan_25003466_both_ranked, TRANSCRIPTOMICS: Natarajan_28851267_up"
ANKRD1,0,0,0,0,0,1.580249068,0,1.335478645,1.326849482,0,0,0,0,0,0,0,0,0,1.766412146,0,0,0,0,0,0,0,0,0,0,0,0,0,6.008989341,"SCRNASEQ: x_lingappan_25003466_both_ranked, TRANSCRIPTOMICS: Natarajan_28851267_up"
GDF15,0,0,0,0,0,1.788693565,0,0,0,1.240416857,0,1.369535637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.398646059,"TRANSCRIPTOMICS: Bhattacharya_25150062, SCRNASEQ: x_lingappan_25003466_both_ranked"
FMO3,0,0,0,0,1.220966952,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851365802,0,0,0,0,0,0,1.244887665,0,0,0,0,0,0,4.31722042,"TRANSCRIPTOMICS: Natarajan_28851267_up, SCRNASEQ: x_hurskainen_33692365_stroma"
BAX,0,0,0,0,0,0,1.302863489,0,0,0,0,1.739985361,1.176751776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.219600626,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062"
COL3A1,0,0,1.225063816,1.226317151,1.221736375,0,1.306192721,0,0,0,0,0,0,1.729746426,0,0,1.388619625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.097676115,"TRANSCRIPTOMICS: Cheng_31961470, SCRNASEQ: x_scaffa_34417156_ranked"
EGFEM1P,0,0,0,0,0,0,1.301482392,0,0,0,0,0,0,0,0,1.734036863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.035519255,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Denervaud_26353077"
TIMP1,0,0,0,0,0,1.574019879,0,0,0,0,1.389298954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244897945,0,0,0,1.397979756,0,0,5.606196534,"TRANSCRIPTOMICS: x_shrestha_33446917_up, SCRNASEQ: x_lingappan_25003466_both_ranked"
Ifi205,0,0,1.224720879,0,1.220808607,0,0,0,0,0,0,0,0,0,0,0,0,0,1.738094261,0,0,0,0,0,0,0,0,0,0,0,0,0,4.183623747,"TRANSCRIPTOMICS: Natarajan_28851267_up, SCRNASEQ: x_hurskainen_33692365_endothelial"
CCDC85B,0,0,0,0,0,0,1.30688327,0,0,0,0,0,0,0,0,0,0,0,1.653140606,0,0,0,0,0,0,0,0,0,0,0,0,0,2.960023876,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Natarajan_28851267_up"
ATF3,0,0,1.224670006,1.224117586,1.220671449,1.576349453,0,0,0,0,0,1.369535757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61534425,"SCRNASEQ: x_lingappan_25003466_both_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062"
ASNS,0,0,0,0,0,1.573556582,0,0,0,0,0,1.369537357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.943093938,"SCRNASEQ: x_lingappan_25003466_both_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062"
TNC,0,0,0,0,0,1.573522098,1.305794112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,0,0,0,0,0,0,0,4.238082117,"SCRNASEQ: x_lingappan_25003466_both_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked"
GADD45A,0,0,0,0,0,1.573519317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,0,0,0,0,0,0,0,2.932285224,"SCRNASEQ: x_lingappan_25003466_both_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked"
ADM,0,0,0,0,0,1.573535003,0,0,1.344859546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244894115,0,0,0,0,0,0,4.163288664,"SCRNASEQ: x_lingappan_25003466_both_ranked, TRANSCRIPTOMICS: Al_mudares_37368978_male"
SLC7A11,0,0,0,0,0,1.664007368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244896835,0,0,0,0,0,0,2.908904203,"SCRNASEQ: x_lingappan_25003466_both_ranked, TRANSCRIPTOMICS: x_rao_37310763_ranked"
STEAP4,1.407059167,0,0,0,0,0,0,0,0,0,0,1.369535087,0,0,0,0,1.388619625,0,0,0,0,0,0,0,0,1.244898885,0,0,0,0,0,0,5.410112763,"TRANSCRIPTOMICS: Dong_36157523, GENOMICS: Chen28689251"
CHST4,1.407059167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388619625,0,0,0,0,0,0,0,0,1.244890705,0,0,0,0,0,0,4.040569497,"TRANSCRIPTOMICS: Dong_36157523, GENOMICS: Chen28689251"
PPFIBP1,1.407059167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388619625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.795678791,"TRANSCRIPTOMICS: Dong_36157523, GENOMICS: Chen28689251"
ADGRF5,1.407059167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388619625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.795678791,"TRANSCRIPTOMICS: Dong_36157523, GENOMICS: Chen28689251"
AKR1B10,0,0,0,0,0,1.573525923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221368618,0,0,0,0,0,0,0,2.79489454,"SCRNASEQ: x_lingappan_25003466_both_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_6hr_unranked"
FNDC3B,0,0,0,0,0,0,1.300623416,0,0,0,0,0,0,1.481803783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.782427199,"TRANSCRIPTOMICS: Cheng_31961470, SCRNASEQ: x_scaffa_34417156_ranked"
VTN,1.407059167,0,0,0,0,0,0,0,1.330806238,0,0,1.369537307,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244894495,0,0,0,0,0,0,5.352297207,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
PRICKLE2,1.407059167,0,0,0,0,0,0,0,0,0,0,1.369537137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776596303,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
SGCG,1.407059167,0,0,0,0,0,0,0,0,0,0,1.369536197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776595363,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
CD2,1.407059167,0,0,0,0,0,0,0,0,0,0,1.369536187,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244898755,0,0,0,0,0,0,4.021494109,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
SCUBE1,1.407059167,0,0,0,0,0,0,1.335480115,0,0,0,1.369535617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.112074898,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
SORBS2,1.407059167,0,0,0,0,0,0,0,0,0,0,1.369535607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776594773,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
FANCC,1.407059167,0,0,0,0,0,0,0,0,0,0,1.369535517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776594683,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
ATP1B2,1.407059167,0,0,0,0,0,0,0,0,0,0,1.369535487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776594653,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
APC2,1.407059167,0,0,0,0,0,0,0,0,0,0,1.369534947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776594113,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
MNDA,1.407059167,0,0,0,0,0,0,0,0,0,0,1.369534647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776593813,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
SLC16A7,1.407059167,0,0,0,0,0,0,0,0,0,0,1.369534567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776593733,"TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251"
OPCML,0,0,0,0,0,0,1.302683834,0,0,0,0,0,0,0,0,1.468976831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.771660665,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Denervaud_26353077"
PTK2B,1.407059167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358765907,0,0,0,0,0,0,0,0,2.765825074,"TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251"
PRRG1,1.407059167,0,0,0,0,0,0,0,1.356252275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.763311442,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
C5AR2,1.407059167,0,0,0,0,0,0,0,1.354956096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.762015263,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
HADHB,1.407059167,0,0,0,0,0,0,0,1.354546777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244885865,0,0,0,0,0,0,4.006491809,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
ABHD17B,1.407059167,0,0,0,0,0,0,0,1.349566721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.756625888,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
PDGFRL,0,0,0,0,0,0,1.30124098,0,0,0,0,0,0,0,0,1.452917581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.754158561,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Denervaud_26353077"
DEF8,1.407059167,0,0,0,0,0,0,0,1.344791326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.751850492,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
CPT1A,1.407059167,0,0,0,0,0,0,1.335479515,1.344723106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.087261787,"TRANSCRIPTOMICS: Al_mudares_37368978_male, GENOMICS: Chen28689251"
MARK1,0,0,1.224684087,1.224193687,1.220710478,0,1.301100625,0,0,0,0,0,0,0,0,1.448902768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.419591645,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Denervaud_26353077"
TDG,1.407059167,0,0,0,0,0,0,0,1.341926088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.748985255,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
USP49,1.407059167,0,0,0,0,0,0,0,1.341448549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.748507716,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
ATXN1,1.407059167,0,0,0,0,0,0,0,1.340902789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.747961956,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
FGD4,1.407059167,0,0,0,0,0,0,0,1.340561689,0,0,0,1.176751776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.924372633,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
NOX4,0,0,0,0,0,0,1.304143531,0,0,0,0,0,0,0,0,1.440873143,0,0,0,0,0,0,0,0,0,1.244897815,0,0,0,0,0,0,3.98991449,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Denervaud_26353077"
FYN,1.407059167,0,0,0,0,0,0,0,1.337832892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244897685,0,0,0,0,0,0,3.989789744,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
RRAD,0,0,0,0,0,0,1.299528644,0,0,0,0,0,0,0,0,1.444887956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7444166,"SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Denervaud_26353077"
HMGCS2,1.407059167,0,0,0,0,0,0,1.335480075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.742539242,"TRANSCRIPTOMICS: Al_mudares_37368978_female, GENOMICS: Chen28689251"
MEF2D,1.407059167,0,0,0,0,0,0,1.335478855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.742538022,"TRANSCRIPTOMICS: Al_mudares_37368978_female, GENOMICS: Chen28689251"
FGD1,1.407059167,0,0,0,0,0,0,1.335478695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.742537862,"TRANSCRIPTOMICS: Al_mudares_37368978_female, GENOMICS: Chen28689251"
TMEM175,1.407059167,0,0,0,0,0,0,0,1.331829537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.738888704,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
LARP4B,1.407059167,0,0,0,0,0,0,0,1.32875964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.735818807,"GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male"
